Date,HomeTeam,AwayTeam,FTHG,FTAG
07/08/09,Wolfsburg,Stuttgart,2,0
08/08/09,Dortmund,FC Koln,1,0
08/08/09,Hertha,Hannover,1,0
08/08/09,Hoffenheim,Bayern Munich,1,1
08/08/09,Mainz,Leverkusen,2,2
08/08/09,Nurnberg,Schalke 04,1,2
08/08/09,Werder Bremen,Ein Frankfurt,2,3
09/08/09,Bochum,M'gladbach,3,3
09/08/09,Freiburg,Hamburg,1,1
15/08/09,Bayern Munich,Werder Bremen,1,1
15/08/09,Ein Frankfurt,Nurnberg,1,1
15/08/09,FC Koln,Wolfsburg,1,3
15/08/09,Hamburg,Dortmund,4,1
15/08/09,Hannover,Mainz,1,1
15/08/09,Leverkusen,Hoffenheim,1,0
15/08/09,Stuttgart,Freiburg,4,2
16/08/09,M'gladbach,Hertha,2,1
16/08/09,Schalke 04,Bochum,3,0
21/08/09,Hoffenheim,Schalke 04,0,0
22/08/09,Dortmund,Stuttgart,1,1
22/08/09,FC Koln,Ein Frankfurt,0,0
22/08/09,Freiburg,Leverkusen,0,5
22/08/09,Mainz,Bayern Munich,2,1
22/08/09,Nurnberg,Hannover,0,2
23/08/09,Bochum,Hertha,1,0
23/08/09,Werder Bremen,M'gladbach,3,0
23/08/09,Wolfsburg,Hamburg,2,4
28/08/09,M'gladbach,Mainz,2,0
29/08/09,Bayern Munich,Wolfsburg,3,0
29/08/09,Ein Frankfurt,Dortmund,1,1
29/08/09,Hannover,Hoffenheim,0,1
29/08/09,Leverkusen,Bochum,2,1
29/08/09,Schalke 04,Freiburg,0,1
29/08/09,Stuttgart,Nurnberg,0,0
30/08/09,Hamburg,FC Koln,3,1
30/08/09,Hertha,Werder Bremen,2,3
12/09/09,Dortmund,Bayern Munich,1,5
12/09/09,Freiburg,Ein Frankfurt,0,2
12/09/09,Hamburg,Stuttgart,3,1
12/09/09,Hoffenheim,Bochum,3,0
12/09/09,Mainz,Hertha,2,1
