Date,HomeTeam,AwayTeam,FTHG,FTAG
18/09/2020,Hamburg,Fortuna Dusseldorf,2,1
18/09/2020,Regensburg,Nurnberg,1,1
19/09/2020,Hannover,Karlsruhe,2,0
19/09/2020,Sandhausen,Darmstadt,3,2
19/09/2020,Wurzburger Kickers,Erzgebirge Aue,0,3
20/09/2020,Greuther Furth,Osnabruck,1,1
20/09/2020,Heidenheim,Braunschweig,2,0
20/09/2020,Holstein Kiel,Paderborn,1,0
21/09/2020,Bochum,St Pauli,2,2
25/09/2020,Erzgebirge Aue,Greuther Furth,1,1
25/09/2020,Osnabruck,Hannover,2,1
26/09/2020,Braunschweig,Holstein Kiel,0,0
26/09/2020,Darmstadt,Regensburg,0,0
26/09/2020,Fortuna Dusseldorf,Wurzburger Kickers,1,0
27/09/2020,Karlsruhe,Bochum,0,1
27/09/2020,Nurnberg,Sandhausen,1,0
27/09/2020,St Pauli,Heidenheim,4,2
28/09/2020,Paderborn,Hamburg,3,4
02/10/2020,Bochum,Osnabruck,0,0
02/10/2020,Sandhausen,St Pauli,1,0
03/10/2020,Hannover,Braunschweig,4,1
03/10/2020,Heidenheim,Paderborn,0,0
03/10/2020,Regensburg,Karlsruhe,1,0
04/10/2020,Holstein Kiel,Fortuna Dusseldorf,2,1
04/10/2020,Wurzburger Kickers,Greuther Furth,2,2
05/10/2020,Nurnberg,Darmstadt,2,3
17/10/2020,Braunschweig,Bochum,2,1
17/10/2020,Greuther Furth,Hamburg,0,1
17/10/2020,Karlsruhe,Sandhausen,3,0
18/10/2020,Erzgebirge Aue,Heidenheim,2,1
18/10/2020,Fortuna Dusseldorf,Regensburg,2,2
18/10/2020,Paderborn,Hannover,1,0
18/10/2020,Wurzburger Kickers,Holstein Kiel,0,2
19/10/2020,St Pauli,Nurnberg,2,2
21/10/2020,Hamburg,Erzgebirge Aue,3,0
23/10/2020,Nurnberg,Karlsruhe,1,1
23/10/2020,Regensburg,Braunschweig,3,0
24/10/2020,Darmstadt,St Pauli,2,2
24/10/2020,Hamburg,Wurzburger Kickers,3,1
24/10/2020,Hannover,Fortuna Dusseldorf,3,0
24/10/2020,Holstein Kiel,Greuther Furth,1,3
25/10/2020,Bochum,Erzgebirge Aue,2,0
25/10/2020,Heidenheim,Osnabruck,1,1
25/10/2020,Sandhausen,Paderborn,1,1
28/10/2020,Osnabruck,Darmstadt,1,1
30/10/2020,Fortuna Dusseldorf,Heidenheim,1,0
30/10/2020,Hamburg,St Pauli,2,2
31/10/2020,Braunschweig,Nurnberg,3,2
31/10/2020,Erzgebirge Aue,Holstein Kiel,1,1
31/10/2020,Osnabruck,Sandhausen,2,1
31/10/2020,Paderborn,Regensburg,3,1
01/11/2020,Greuther Furth,Hannover,4,1
01/11/2020,Karlsruhe,Darmstadt,3,4
01/11/2020,Wurzburger Kickers,Bochum,2,3
06/11/2020,Heidenheim,Wurzburger Kickers,4,1
06/11/2020,Sandhausen,Braunschweig,2,2
07/11/2020,Bochum,Greuther Furth,0,2
07/11/2020,Hannover,Erzgebirge Aue,0,0
07/11/2020,Nurnberg,Fortuna Dusseldorf,1,1
08/11/2020,Darmstadt,Paderborn,0,4
08/11/2020,Regensburg,Osnabruck,2,4
08/11/2020,St Pauli,Karlsruhe,0,3
09/11/2020,Holstein Kiel,Hamburg,1,1
21/11/2020,Braunschweig,Karlsruhe,1,3
21/11/2020,Fortuna Dusseldorf,Sandhausen,1,0
21/11/2020,Holstein Kiel,Heidenheim,2,2
21/11/2020,Paderborn,St Pauli,2,0
22/11/2020,Erzgebirge Aue,Darmstadt,3,0
22/11/2020,Greuther Furth,Regensburg,3,1
22/11/2020,Hamburg,Bochum,1,3
22/11/2020,Wurzburger Kickers,Hannover,2,1
23/11/2020,Osnabruck,Nurnberg,1,4
27/11/2020,Darmstadt,Braunschweig,4,0
27/11/2020,St Pauli,Osnabruck,0,1
28/11/2020,Karlsruhe,Paderborn,1,0
28/11/2020,Regensburg,Wurzburger Kickers,2,1
28/11/2020,Sandhausen,Erzgebirge Aue,1,4
29/11/2020,Hannover,Holstein Kiel,0,3
29/11/2020,Heidenheim,Hamburg,3,2
29/11/2020,Nurnberg,Greuther Furth,2,3
30/11/2020,Bochum,Fortuna Dusseldorf,5,0
04/12/2020,Fortuna Dusseldorf,Darmstadt,3,2
04/12/2020,Holstein Kiel,Bochum,3,1
05/12/2020,Braunschweig,St Pauli,2,1
05/12/2020,Greuther Furth,Heidenheim,0,1
05/12/2020,Hamburg,Hannover,0,1
05/12/2020,Osnabruck,Karlsruhe,1,2
06/12/2020,Erzgebirge Aue,Regensburg,0,2
06/12/2020,Paderborn,Nurnberg,0,2
06/12/2020,Wurzburger Kickers,Sandhausen,2,3
11/12/2020,Bochum,Paderborn,3,0
11/12/2020,Sandhausen,Greuther Furth,0,3
12/12/2020,Darmstadt,Hamburg,1,2
12/12/2020,Heidenheim,Hannover,1,0
12/12/2020,Regensburg,Holstein Kiel,2,3
13/12/2020,Braunschweig,Osnabruck,0,2
13/12/2020,Karlsruhe,Fortuna Dusseldorf,1,2
13/12/2020,Nurnberg,Wurzburger Kickers,2,1
13/12/2020,St Pauli,Erzgebirge Aue,2,2
15/12/2020,Greuther Furth,Darmstadt,0,4
