Date,HomeTeam,AwayTeam,FTHG,FTAG,round
09/08/1975,Hannover 96,Bor. Mönchengladbach,3,3,1
09/08/1975,Bayern München,Eintracht Braunschweig,1,1,1
09/08/1975,1. FC Kaiserslautern,Kickers Offenbach,2,2,1
09/08/1975,Hamburger SV,FC Schalke 04,4,1,1
09/08/1975,VfL Bochum,Werder Bremen,0,3,1
09/08/1975,MSV Duisburg,Fortuna Düsseldorf,2,2,1
09/08/1975,Rot-Weiss Essen,Bayer 05 Uerdingen,2,1,1
09/08/1975,Hertha BSC,1. FC Köln,2,1,1
09/08/1975,Eintracht Frankfurt,Karlsruher SC,0,2,1
15/08/1975,Werder Bremen,Eintracht Frankfurt,1,2,2
15/08/1975,Kickers Offenbach,Hamburger SV,3,2,2
16/08/1975,Eintracht Braunschweig,Hertha BSC,5,2,2
16/08/1975,Bor. Mönchengladbach,1. FC Kaiserslautern,3,0,2
16/08/1975,FC Schalke 04,MSV Duisburg,5,1,2
16/08/1975,Bayer 05 Uerdingen,VfL Bochum,0,0,2
16/08/1975,Fortuna Düsseldorf,Rot-Weiss Essen,5,2,2
16/08/1975,1. FC Köln,Hannover 96,2,1,2
16/08/1975,Karlsruher SC,Bayern München,1,2,2
22/08/1975,1. FC Kaiserslautern,Hannover 96,2,2,3
22/08/1975,Bayern München,Werder Bremen,4,0,3
23/08/1975,Hamburger SV,Bor. Mönchengladbach,0,0,3
23/08/1975,Hertha BSC,Karlsruher SC,1,1,3
23/08/1975,MSV Duisburg,Kickers Offenbach,6,2,3
23/08/1975,Eintracht Frankfurt,Bayer 05 Uerdingen,3,1,3
23/08/1975,Rot-Weiss Essen,FC Schalke 04,0,0,3
23/08/1975,VfL Bochum,Fortuna Düsseldorf,0,1,3
23/08/1975,Eintracht Braunschweig,1. FC Köln,0,0,3
26/08/1975,Bor. Mönchengladbach,MSV Duisburg,3,0,4
27/08/1975,Werder Bremen,Hertha BSC,3,2,4
27/08/1975,Kickers Offenbach,Rot-Weiss Essen,0,4,4
27/08/1975,Fortuna Düsseldorf,Eintracht Frankfurt,1,1,4
27/08/1975,FC Schalke 04,VfL Bochum,1,1,4
27/08/1975,Bayer 05 Uerdingen,Bayern München,2,1,4
27/08/1975,Hannover 96,Hamburger SV,1,0,4
27/08/1975,Karlsruher SC,Eintracht Braunschweig,0,2,4
27/08/1975,1. FC Köln,1. FC Kaiserslautern,1,1,4
30/08/1975,Rot-Weiss Essen,Bor. Mönchengladbach,1,3,5
30/08/1975,Hertha BSC,Bayer 05 Uerdingen,5,0,5
30/08/1975,VfL Bochum,Kickers Offenbach,5,1,5
30/08/1975,Eintracht Frankfurt,FC Schalke 04,2,1,5
30/08/1975,Bayern München,Fortuna Düsseldorf,5,0,5
30/08/1975,MSV Duisburg,Hannover 96,4,3,5
30/08/1975,Eintracht Braunschweig,Werder Bremen,3,2,5
30/08/1975,Hamburger SV,1. FC Kaiserslautern,2,0,5
30/08/1975,Karlsruher SC,1. FC Köln,3,1,5
06/09/1975,Bor. Mönchengladbach,VfL Bochum,1,1,6
06/09/1975,1. FC Köln,Hamburger SV,1,1,6
06/09/1975,Fortuna Düsseldorf,Hertha BSC,2,1,6
06/09/1975,Werder Bremen,Karlsruher SC,1,0,6
06/09/1975,Hannover 96,Rot-Weiss Essen,0,0,6
06/09/1975,Bayer 05 Uerdingen,Eintracht Braunschweig,0,0,6
