id,team1,team2,winner
0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
1,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
2,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
3,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
4,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
5,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
6,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab
7,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
8,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
9,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
10,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
11,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
12,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
13,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
14,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
15,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
16,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
17,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
18,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
19,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
20,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
21,Kings XI Punjab,Mumbai Indians,Mumbai Indians
22,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
23,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
24,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
25,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
26,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
27,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
28,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
29,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
30,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
31,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
32,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
33,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
34,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
35,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
36,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
37,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
38,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab
39,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
40,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
41,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
42,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
43,Mumbai Indians,Rajasthan Royals,Mumbai Indians
44,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
45,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
46,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
47,Kings XI Punjab,Mumbai Indians,Mumbai Indians
48,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
49,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
50,Mumbai Indians,Delhi Daredevils,Mumbai Indians
51,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
52,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
53,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
54,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
55,Rajasthan Royals,Mumbai Indians,Mumbai Indians
