date,team1,team2,winner
"Oct 08, 2021",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
"Oct 08, 2021",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
"Oct 07, 2021",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
"Oct 07, 2021",Chennai Super Kings,Punjab Kings,Punjab Kings
"Oct 06, 2021",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
"Oct 05, 2021",Rajasthan Royals,Mumbai Indians,Mumbai Indians
"Oct 04, 2021",Delhi Capitals,Chennai Super Kings,Delhi Capitals
"Oct 03, 2021",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"Oct 03, 2021",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore
"Oct 02, 2021",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
"Oct 02, 2021",Mumbai Indians,Delhi Capitals,Delhi Capitals
"Oct 01, 2021",Kolkata Knight Riders,Punjab Kings,Punjab Kings
"Sep 30, 2021",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
"Sep 29, 2021",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Sep 28, 2021",Mumbai Indians,Punjab Kings,Mumbai Indians
"Sep 28, 2021",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
"Sep 27, 2021",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
"Sep 26, 2021",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
"Sep 26, 2021",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
"Sep 25, 2021",Sunrisers Hyderabad,Punjab Kings,Punjab Kings
"Sep 25, 2021",Delhi Capitals,Rajasthan Royals,Delhi Capitals
"Sep 24, 2021",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
"Sep 23, 2021",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
"Sep 22, 2021",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
"Sep 21, 2021",Punjab Kings,Rajasthan Royals,Rajasthan Royals
"Sep 20, 2021",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
"Sep 19, 2021",Chennai Super Kings,Mumbai Indians,Chennai Super Kings
"May 02, 2021",Punjab Kings,Delhi Capitals,Delhi Capitals
"May 02, 2021",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
"May 01, 2021",Mumbai Indians,Chennai Super Kings,Mumbai Indians
"Apr 30, 2021",Punjab Kings,Royal Challengers Bangalore,Punjab Kings
"Apr 29, 2021",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
"Apr 29, 2021",Mumbai Indians,Rajasthan Royals,Mumbai Indians
"Apr 28, 2021",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
"Apr 27, 2021",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 26, 2021",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 25, 2021",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
"Apr 25, 2021",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
"Apr 24, 2021",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
"Apr 23, 2021",Punjab Kings,Mumbai Indians,Punjab Kings
"Apr 22, 2021",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
"Apr 21, 2021",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
"Apr 21, 2021",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 20, 2021",Delhi Capitals,Mumbai Indians,Delhi Capitals
"Apr 19, 2021",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
"Apr 18, 2021",Delhi Capitals,Punjab Kings,Delhi Capitals
"Apr 18, 2021",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
"Apr 17, 2021",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
"Apr 16, 2021",Punjab Kings,Chennai Super Kings,Chennai Super Kings
"Apr 15, 2021",Rajasthan Royals,Delhi Capitals,Rajasthan Royals
"Apr 14, 2021",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 13, 2021",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
"Apr 12, 2021",Rajasthan Royals,Punjab Kings,Punjab Kings
"Apr 11, 2021",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 10, 2021",Chennai Super Kings,Delhi Capitals,Delhi Capitals
"Apr 09, 2021",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
