Date,HomeTeam,AwayTeam,FTHG,FTAG
13/08/2021,Valencia,Getafe,1,0
14/08/2021,Cadiz,Levante,1,1
14/08/2021,Mallorca,Betis,1,1
14/08/2021,Alaves,Real Madrid,1,4
14/08/2021,Osasuna,Espanol,0,0
15/08/2021,Celta,Ath Madrid,1,2
15/08/2021,Barcelona,Sociedad,4,2
15/08/2021,Sevilla,Vallecano,3,0
16/08/2021,Villarreal,Granada,0,0
16/08/2021,Elche,Ath Bilbao,0,0
20/08/2021,Betis,Cadiz,1,1
21/08/2021,Alaves,Mallorca,0,1
21/08/2021,Espanol,Villarreal,0,0
21/08/2021,Granada,Valencia,1,1
21/08/2021,Ath Bilbao,Barcelona,1,1
22/08/2021,Sociedad,Vallecano,1,0
22/08/2021,Ath Madrid,Elche,1,0
22/08/2021,Levante,Real Madrid,3,3
23/08/2021,Getafe,Sevilla,0,1
23/08/2021,Osasuna,Celta,0,0
27/08/2021,Mallorca,Espanol,1,0
27/08/2021,Valencia,Alaves,3,0
28/08/2021,Celta,Ath Bilbao,0,1
28/08/2021,Elche,Sevilla,1,1
28/08/2021,Sociedad,Levante,1,0
28/08/2021,Betis,Real Madrid,0,1
29/08/2021,Barcelona,Getafe,2,1
29/08/2021,Cadiz,Osasuna,2,3
29/08/2021,Vallecano,Granada,4,0
29/08/2021,Ath Madrid,Villarreal,2,2
11/09/2021,Levante,Vallecano,1,1
11/09/2021,Ath Bilbao,Mallorca,2,0
12/09/2021,Espanol,Ath Madrid,1,2
12/09/2021,Osasuna,Valencia,1,4
12/09/2021,Cadiz,Sociedad,0,2
12/09/2021,Real Madrid,Celta,5,2
13/09/2021,Getafe,Elche,0,1
13/09/2021,Granada,Betis,1,2
17/09/2021,Celta,Cadiz,1,2
18/09/2021,Vallecano,Getafe,3,0
18/09/2021,Ath Madrid,Ath Bilbao,0,0
18/09/2021,Elche,Levante,1,1
18/09/2021,Alaves,Osasuna,0,2
19/09/2021,Mallorca,Villarreal,0,0
19/09/2021,Sociedad,Sevilla,0,0
19/09/2021,Betis,Espanol,2,2
19/09/2021,Valencia,Real Madrid,1,2
20/09/2021,Barcelona,Granada,1,1
21/09/2021,Getafe,Ath Madrid,1,2
21/09/2021,Ath Bilbao,Vallecano,1,2
21/09/2021,Levante,Celta,0,2
22/09/2021,Espanol,Alaves,1,0
22/09/2021,Sevilla,Valencia,3,1
22/09/2021,Real Madrid,Mallorca,6,1
22/09/2021,Villarreal,Elche,4,1
23/09/2021,Granada,Sociedad,2,3
23/09/2021,Osasuna,Betis,1,3
23/09/2021,Cadiz,Barcelona,0,0
25/09/2021,Alaves,Ath Madrid,1,0
25/09/2021,Valencia,Ath Bilbao,1,1
25/09/2021,Sevilla,Espanol,2,0
25/09/2021,Real Madrid,Villarreal,0,0
26/09/2021,Mallorca,Osasuna,2,3
26/09/2021,Barcelona,Levante,3,0
26/09/2021,Sociedad,Elche,1,0
26/09/2021,Vallecano,Cadiz,3,1
26/09/2021,Betis,Getafe,2,0
27/09/2021,Celta,Granada,1,0
01/10/2021,Ath Bilbao,Alaves,1,0
02/10/2021,Osasuna,Vallecano,1,0
02/10/2021,Mallorca,Levante,1,0
02/10/2021,Cadiz,Valencia,0,0
02/10/2021,Ath Madrid,Barcelona,2,0
03/10/2021,Elche,Celta,1,0
03/10/2021,Espanol,Real Madrid,2,1
03/10/2021,Getafe,Sociedad,1,1
03/10/2021,Villarreal,Betis,2,0
03/10/2021,Granada,Sevilla,1,0
16/10/2021,Levante,Getafe,0,0
16/10/2021,Sociedad,Mallorca,1,0
17/10/2021,Vallecano,Elche,2,1
17/10/2021,Celta,Sevilla,0,1
17/10/2021,Villarreal,Osasuna,1,2
17/10/2021,Barcelona,Valencia,3,1
18/10/2021,Alaves,Betis,0,1
18/10/2021,Espanol,Cadiz,2,0
22/10/2021,Osasuna,Granada,1,1
23/10/2021,Valencia,Mallorca,2,2
23/10/2021,Cadiz,Alaves,0,2
23/10/2021,Elche,Espanol,2,2
23/10/2021,Ath Bilbao,Villarreal,2,1
24/10/2021,Sevilla,Levante,5,3
24/10/2021,Barcelona,Real Madrid,1,2
24/10/2021,Betis,Vallecano,3,2
24/10/2021,Ath Madrid,Sociedad,2,2
25/10/2021,Getafe,Celta,0,3
26/10/2021,Alaves,Elche,1,0
26/10/2021,Espanol,Ath Bilbao,1,1
26/10/2021,Villarreal,Cadiz,3,3
27/10/2021,Mallorca,Sevilla,1,1
27/10/2021,Vallecano,Barcelona,1,0
27/10/2021,Betis,Valencia,4,1
27/10/2021,Real Madrid,Osasuna,0,0
28/10/2021,Celta,Sociedad,0,2
28/10/2021,Granada,Getafe,1,1
28/10/2021,Levante,Ath Madrid,2,2
30/10/2021,Elche,Real Madrid,1,2
30/10/2021,Sevilla,Osasuna,2,0
30/10/2021,Valencia,Villarreal,2,0
30/10/2021,Barcelona,Alaves,1,1
31/10/2021,Cadiz,Mallorca,1,1
31/10/2021,Ath Madrid,Betis,3,0
31/10/2021,Getafe,Espanol,2,1
31/10/2021,Sociedad,Ath Bilbao,1,1
01/11/2021,Vallecano,Celta,0,0
01/11/2021,Levante,Granada,0,3
05/11/2021,Ath Bilbao,Cadiz,0,1
06/11/2021,Espanol,Granada,2,0
06/11/2021,Celta,Barcelona,3,3
06/11/2021,Alaves,Levante,2,1
06/11/2021,Real Madrid,Vallecano,2,1
07/11/2021,Villarreal,Getafe,1,0
07/11/2021,Valencia,Ath Madrid,3,3
07/11/2021,Mallorca,Elche,2,2
07/11/2021,Osasuna,Sociedad,0,2
07/11/2021,Betis,Sevilla,0,2
19/11/2021,Levante,Ath Bilbao,0,0
20/11/2021,Celta,Villarreal,1,1
20/11/2021,Sevilla,Alaves,2,2
20/11/2021,Ath Madrid,Osasuna,1,0
20/11/2021,Barcelona,Espanol,1,0
21/11/2021,Getafe,Cadiz,4,0
21/11/2021,Granada,Real Madrid,1,4
21/11/2021,Elche,Betis,0,3
21/11/2021,Sociedad,Valencia,0,0
22/11/2021,Vallecano,Mallorca,3,1
26/11/2021,Ath Bilbao,Granada,2,2
27/11/2021,Alaves,Celta,1,2
27/11/2021,Valencia,Vallecano,1,1
27/11/2021,Mallorca,Getafe,0,0
27/11/2021,Villarreal,Barcelona,1,3
28/11/2021,Betis,Levante,3,1
28/11/2021,Espanol,Sociedad,1,0
28/11/2021,Cadiz,Ath Madrid,1,4
28/11/2021,Real Madrid,Sevilla,2,1
29/11/2021,Osasuna,Elche,1,1
01/12/2021,Real Madrid,Ath Bilbao,1,0
03/12/2021,Granada,Alaves,2,1
04/12/2021,Sevilla,Villarreal,1,0
04/12/2021,Barcelona,Betis,0,1
04/12/2021,Ath Madrid,Mallorca,1,2
04/12/2021,Sociedad,Real Madrid,0,2
05/12/2021,Vallecano,Espanol,1,0
05/12/2021,Elche,Cadiz,3,1
05/12/2021,Levante,Osasuna,0,0
05/12/2021,Celta,Valencia,1,2
06/12/2021,Getafe,Ath Bilbao,0,0
10/12/2021,Mallorca,Celta,0,0
11/12/2021,Espanol,Levante,4,3
11/12/2021,Alaves,Getafe,1,1
11/12/2021,Valencia,Elche,2,1
11/12/2021,Ath Bilbao,Sevilla,0,1
12/12/2021,Villarreal,Vallecano,2,0
12/12/2021,Osasuna,Barcelona,2,2
12/12/2021,Betis,Sociedad,4,0
12/12/2021,Real Madrid,Ath Madrid,2,0
13/12/2021,Cadiz,Granada,1,1
17/12/2021,Celta,Espanol,3,1
18/12/2021,Vallecano,Alaves,2,0
18/12/2021,Sociedad,Villarreal,1,3
