Date,HomeTeam,AwayTeam,FTHG,FTAG
12/09/2020,Ponferradina,Castellon,1,2
12/09/2020,Leganes,Las Palmas,1,0
12/09/2020,Sp Gijon,Logrones,1,0
12/09/2020,Espanol,Albacete,3,0
13/09/2020,Oviedo,Cartagena,0,0
13/09/2020,Mallorca,Vallecano,0,1
13/09/2020,Fuenlabrada,Lugo,2,0
13/09/2020,Mirandes,Alcorcon,0,0
13/09/2020,Tenerife,Malaga,2,0
19/09/2020,Mirandes,Oviedo,1,1
19/09/2020,Alcorcon,Tenerife,2,0
19/09/2020,Castellon,Malaga,0,1
19/09/2020,Vallecano,Sabadell,2,1
20/09/2020,Lugo,Leganes,2,1
20/09/2020,Espanol,Mallorca,0,0
20/09/2020,Albacete,Ponferradina,0,2
20/09/2020,Cartagena,Sp Gijon,0,1
20/09/2020,Las Palmas,Fuenlabrada,3,3
26/09/2020,Zaragoza,Las Palmas,2,2
26/09/2020,Logrones,Castellon,1,1
26/09/2020,Malaga,Alcorcon,1,0
26/09/2020,Sp Gijon,Girona,2,0
26/09/2020,Fuenlabrada,Albacete,1,0
27/09/2020,Lugo,Almeria,0,2
27/09/2020,Mallorca,Sabadell,1,0
27/09/2020,Oviedo,Espanol,0,2
27/09/2020,Ponferradina,Vallecano,3,0
27/09/2020,Tenerife,Mirandes,1,2
27/09/2020,Leganes,Cartagena,3,1
03/10/2020,Alcorcon,Zaragoza,0,0
03/10/2020,Mirandes,Ponferradina,0,1
03/10/2020,Albacete,Oviedo,1,1
03/10/2020,Mallorca,Tenerife,2,0
03/10/2020,Las Palmas,Logrones,2,1
03/10/2020,Vallecano,Malaga,4,0
04/10/2020,Girona,Fuenlabrada,0,1
04/10/2020,Sabadell,Espanol,0,1
04/10/2020,Almeria,Sp Gijon,0,1
04/10/2020,Castellon,Leganes,2,0
04/10/2020,Cartagena,Lugo,2,1
10/10/2020,Sabadell,Mirandes,0,2
10/10/2020,Espanol,Alcorcon,1,0
10/10/2020,Logrones,Almeria,1,0
10/10/2020,Tenerife,Vallecano,1,0
11/10/2020,Fuenlabrada,Castellon,1,1
11/10/2020,Lugo,Mallorca,0,1
11/10/2020,Leganes,Girona,0,1
11/10/2020,Malaga,Las Palmas,0,0
11/10/2020,Zaragoza,Albacete,1,0
11/10/2020,Ponferradina,Cartagena,0,2
11/10/2020,Oviedo,Sp Gijon,1,0
17/10/2020,Albacete,Sabadell,3,0
17/10/2020,Castellon,Lugo,0,1
17/10/2020,Cartagena,Fuenlabrada,1,1
17/10/2020,Las Palmas,Almeria,2,0
17/10/2020,Logrones,Leganes,0,1
18/10/2020,Vallecano,Espanol,1,0
18/10/2020,Mirandes,Mallorca,0,0
18/10/2020,Zaragoza,Malaga,1,2
18/10/2020,Girona,Oviedo,1,0
18/10/2020,Sp Gijon,Tenerife,1,1
21/10/2020,Espanol,Mirandes,2,0
21/10/2020,Las Palmas,Castellon,2,1
21/10/2020,Lugo,Girona,3,0
21/10/2020,Ponferradina,Tenerife,1,0
21/10/2020,Almeria,Cartagena,1,1
21/10/2020,Fuenlabrada,Logrones,0,0
22/10/2020,Leganes,Zaragoza,1,0
22/10/2020,Malaga,Sp Gijon,1,0
22/10/2020,Mallorca,Albacete,0,0
22/10/2020,Oviedo,Vallecano,0,0
24/10/2020,Cartagena,Las Palmas,3,0
24/10/2020,Logrones,Lugo,2,3
24/10/2020,Almeria,Fuenlabrada,3,0
24/10/2020,Castellon,Girona,0,1
25/10/2020,Sp Gijon,Ponferradina,2,1
25/10/2020,Leganes,Oviedo,2,1
25/10/2020,Tenerife,Espanol,0,0
25/10/2020,Albacete,Vallecano,2,1
25/10/2020,Malaga,Mirandes,1,1
25/10/2020,Zaragoza,Sabadell,0,0
26/10/2020,Alcorcon,Mallorca,0,2
27/10/2020,Girona,Cartagena,2,1
28/10/2020,Albacete,Las Palmas,1,1
28/10/2020,Castellon,Almeria,1,2
28/10/2020,Espanol,Ponferradina,2,0
28/10/2020,Oviedo,Logrones,2,3
29/10/2020,Alcorcon,Sp Gijon,1,2
29/10/2020,Mallorca,Malaga,3,1
29/10/2020,Mirandes,Zaragoza,1,0
29/10/2020,Tenerife,Lugo,1,1
29/10/2020,Sabadell,Leganes,1,0
29/10/2020,Vallecano,Fuenlabrada,2,0
31/10/2020,Cartagena,Albacete,3,1
31/10/2020,Las Palmas,Oviedo,1,2
01/11/2020,Leganes,Mirandes,1,0
01/11/2020,Zaragoza,Mallorca,0,0
01/11/2020,Fuenlabrada,Tenerife,1,1
01/11/2020,Ponferradina,Sabadell,0,3
01/11/2020,Lugo,Vallecano,1,0
01/11/2020,Almeria,Girona,0,0
02/11/2020,Logrones,Alcorcon,1,0
02/11/2020,Sp Gijon,Castellon,1,0
02/11/2020,Malaga,Espanol,0,3
04/11/2020,Zaragoza,Girona,2,2
05/11/2020,Alcorcon,Ponferradina,0,1
05/11/2020,Sabadell,Almeria,1,2
06/11/2020,Albacete,Leganes,0,0
07/11/2020,Cartagena,Logrones,0,1
07/11/2020,Mirandes,Sp Gijon,1,0
07/11/2020,Espanol,Lugo,2,1
08/11/2020,Sabadell,Malaga,1,2
08/11/2020,Alcorcon,Fuenlabrada,0,3
08/11/2020,Vallecano,Almeria,0,1
08/11/2020,Mallorca,Ponferradina,3,0
08/11/2020,Oviedo,Castellon,4,0
08/11/2020,Tenerife,Zaragoza,1,0
09/11/2020,Girona,Las Palmas,1,1
13/11/2020,Zaragoza,Oviedo,1,2
14/11/2020,Fuenlabrada,Espanol,1,1
14/11/2020,Almeria,Mirandes,2,1
14/11/2020,Girona,Mallorca,0,1
14/11/2020,Lugo,Albacete,1,0
15/11/2020,Leganes,Alcorcon,1,0
15/11/2020,Ponferradina,Malaga,1,1
15/11/2020,Castellon,Cartagena,2,1
15/11/2020,Logrones,Sabadell,1,0
15/11/2020,Las Palmas,Tenerife,1,0
16/11/2020,Sp Gijon,Vallecano,1,1
20/11/2020,Alcorcon,Lugo,1,0
20/11/2020,Espanol,Girona,1,2
21/11/2020,Malaga,Leganes,1,2
21/11/2020,Mirandes,Cartagena,4,1
21/11/2020,Vallecano,Castellon,2,1
21/11/2020,Oviedo,Fuenlabrada,1,1
22/11/2020,Sabadell,Las Palmas,3,1
22/11/2020,Mallorca,Sp Gijon,0,0
22/11/2020,Tenerife,Logrones,0,1
22/11/2020,Ponferradina,Zaragoza,2,1
23/11/2020,Albacete,Almeria,1,2
24/11/2020,Castellon,Alcorcon,0,2
24/11/2020,Girona,Malaga,0,1
24/11/2020,Lugo,Oviedo,0,0
25/11/2020,Las Palmas,Mirandes,0,2
25/11/2020,Sp Gijon,Sabadell,3,1
25/11/2020,Zaragoza,Vallecano,1,2
25/11/2020,Cartagena,Mallorca,1,2
25/11/2020,Fuenlabrada,Ponferradina,1,1
26/11/2020,Leganes,Espanol,2,0
26/11/2020,Logrones,Albacete,2,0
26/11/2020,Almeria,Tenerife,2,0
27/11/2020,Alcorcon,Girona,1,0
27/11/2020,Malaga,Lugo,2,2
28/11/2020,Sabadell,Fuenlabrada,1,2
28/11/2020,Vallecano,Cartagena,0,0
28/11/2020,Mirandes,Castellon,1,1
29/11/2020,Albacete,Tenerife,0,2
29/11/2020,Espanol,Zaragoza,2,0
29/11/2020,Mallorca,Logrones,4,0
29/11/2020,Ponferradina,Leganes,3,2
29/11/2020,Las Palmas,Sp Gijon,3,2
30/11/2020,Oviedo,Almeria,1,2
01/12/2020,Fuenlabrada,Malaga,0,2
01/12/2020,Girona,Mirandes,1,0
02/12/2020,Cartagena,Espanol,1,3
02/12/2020,Leganes,Vallecano,1,0
02/12/2020,Logrones,Ponferradina,1,2
02/12/2020,Castellon,Zaragoza,1,0
02/12/2020,Lugo,Las Palmas,1,1
03/12/2020,Almeria,Mallorca,0,1
03/12/2020,Oviedo,Alcorcon,1,1
03/12/2020,Tenerife,Sabadell,1,2
03/12/2020,Sp Gijon,Albacete,0,0
05/12/2020,Vallecano,Logrones,2,1
05/12/2020,Ponferradina,Las Palmas,0,0
