date,home_team,home_score,away_team,away_score
2011-12-29,U. De Chile,3,Cobreloa,0
2011-12-26,Cobreloa,0,U. De Chile,0
2011-12-22,U. De Chile,1,U. Catolica,2
2011-12-20,Cobreloa,1,Colo Colo,2
2011-12-18,U. Catolica,1,U. De Chile,2
2011-12-17,Colo Colo,2,Cobreloa,3
2011-12-11,San Felipe,2,Everton,0
2011-12-11,U. De Chile,3,U. Espanola,0
2011-12-11,Cobreloa,4,Union La Calera,3
2011-12-10,A. Italiano,0,U. Catolica,1
2011-12-10,Colo Colo,3,La Serena,1
2011-12-10,S. Wanderers,2,C.D.S. Naval,2
2011-12-04,Everton,1,San Felipe,0
2011-12-04,U. Espanola,0,U. De Chile,1
2011-12-04,Union La Calera,0,Cobreloa,1
2011-12-04,C.D.S. Naval,0,S. Wanderers,1
2011-12-03,U. Catolica,3,A. Italiano,1
2011-12-03,La Serena,2,Colo Colo,6
2011-11-27,A. Italiano,1,U. De Chile,1
2011-11-27,Cobreloa,2,S. Morning,1
2011-11-27,Cobresal,3,Deportes Iquique,3
2011-11-27,O'Higgins,4,Huachipato,4
2011-11-27,Palestino,1,San Felipe,0
2011-11-27,U. De Concepcion,2,U. Espanola,2
2011-11-27,Union La Calera,1,S. Wanderers,0
2011-11-26,Colo Colo,2,Nublense,1
2011-11-26,U. Catolica,4,La Serena,1
2011-11-20,Nublense,1,Union La Calera,3
2011-11-20,U. De Chile,0,U. Catolica,0
2011-11-19,U. Espanola,5,A. Italiano,2
2011-11-19,La Serena,2,Cobreloa,1
2011-11-19,San Felipe,1,Cobresal,1
2011-11-19,S. Wanderers,1,O'Higgins,0
2011-11-19,S. Morning,0,U. De Concepcion,3
2011-11-19,Deportes Iquique,1,Colo Colo,1
2011-11-18,Huachipato,0,Palestino,1
2011-11-06,U. De Chile,5,Huachipato,3
2011-11-06,Cobreloa,1,S. Wanderers,0
2011-11-06,Cobresal,2,La Serena,1
2011-11-06,O'Higgins,2,Colo Colo,0
2011-11-05,Union La Calera,1,Deportes Iquique,2
2011-11-05,U. Espanola,1,U. Catolica,2
2011-11-05,U. De Concepcion,2,San Felipe,1
2011-11-05,Palestino,2,S. Morning,4
2011-11-04,A. Italiano,2,Nublense,0
2011-10-30,U. Catolica,2,U. De Concepcion,1
2011-10-30,Colo Colo,2,U. De Chile,2
2011-10-29,La Serena,3,U. Espanola,2
2011-10-29,Nublense,3,Palestino,1
2011-10-29,Huachipato,1,Union La Calera,0
2011-10-29,S. Morning,5,Cobresal,0
2011-10-29,Deportes Iquique,3,O'Higgins,2
2011-10-29,S. Wanderers,2,A. Italiano,0
2011-10-28,San Felipe,1,Cobreloa,1
2011-10-23,Colo Colo,3,S. Morning,1
2011-10-23,Cobreloa,1,Huachipato,0
2011-10-23,Cobresal,2,U. Catolica,2
2011-10-22,U. Espanola,3,Nublense,1
2011-10-22,Palestino,1,U. De Chile,1
2011-10-22,La Serena,2,San Felipe,1
2011-10-22,U. De Concepcion,2,S. Wanderers,2
2011-10-22,Union La Calera,1,O'Higgins,0
2011-10-21,A. Italiano,3,Deportes Iquique,0
2011-10-16,O'Higgins,0,A. Italiano,1
2011-10-16,Cobresal,0,Cobreloa,3
2011-10-16,U. Catolica,4,Colo Colo,0
2011-10-15,Deportes Iquique,1,Palestino,3
2011-10-15,Nublense,2,U. De Concepcion,1
2011-10-15,S. Wanderers,0,La Serena,2
2011-10-15,S. Morning,1,San Felipe,1
2011-10-14,Huachipato,2,U. Espanola,1
2011-10-12,U. De Chile,3,Union La Calera,2
2011-10-03,A. Italiano,1,Huachipato,1
2011-10-02,U. Espanola,3,O'Higgins,1
2011-10-02,La Serena,4,Colo Colo,0
2011-10-02,S. Morning,1,Nublense,3
2011-10-02,San Felipe,0,S. Wanderers,2
2011-10-02,Union La Calera,3,Palestino,2
2011-10-01,U. De Chile,2,Deportes Iquique,2
2011-10-01,U. De Concepcion,0,Cobresal,0
2011-10-01,Cobreloa,2,U. Catolica,0
2011-09-29,Colo Colo,3,A. Italiano,0
2011-09-29,Huachipato,1,S. Morning,3
2011-09-28,Deportes Iquique,1,La Serena,1
2011-09-28,Nublense,0,Cobresal,2
2011-09-28,O'Higgins,3,U. De Concepcion,0
2011-09-28,S. Wanderers,1,U. De Chile,1
2011-09-28,Palestino,0,Cobreloa,2
2011-09-27,U. Catolica,0,San Felipe,1
2011-09-27,Union La Calera,2,U. Espanola,0
2011-09-25,U. De Chile,3,O'Higgins,0
2011-09-25,Cobreloa,0,Colo Colo,1
2011-09-24,U. De Concepcion,0,Palestino,0
2011-09-24,Cobresal,3,S. Wanderers,2
2011-09-24,S. Morning,3,U. Catolica,2
2011-09-24,San Felipe,1,Nublense,2
2011-09-23,Deportes Iquique,1,U. Espanola,5
2011-09-23,La Serena,1,Huachipato,0
2011-09-23,A. Italiano,2,Union La Calera,1
2011-09-17,Nublense,2,U. Catolica,0
2011-09-17,O'Higgins,2,Cobreloa,2
2011-09-17,Palestino,1,La Serena,1
2011-09-17,S. Wanderers,2,Deportes Iquique,2
2011-09-17,Union La Calera,3,Colo Colo,0
2011-09-17,U. De Chile,3,Cobresal,1
2011-09-16,U. Espanola,1,S. Morning,0
2011-09-16,Huachipato,2,San Felipe,2
2011-09-15,A. Italiano,2,U. De Concepcion,1
2011-09-11,U. Catolica,2,Palestino,1
2011-09-11,Cobreloa,3,A. Italiano,4
2011-09-11,Cobresal,1,O'Higgins,0
2011-09-11,Deportes Iquique,3,Huachipato,2
2011-09-10,Colo Colo,3,U. Espanola,2
