date,home_team,home_score,away_team,away_score,SOOT
2002-09-23,Leksand,2,Brynas,3,
2002-09-24,HV 71,6,Lulea,4,
2002-09-24,Linkoping,3,Djurgarden,0,
2002-09-24,Timra,4,Modo,1,
2002-09-24,Sodertalje,2,Farjestad,3,
2002-09-24,Malmo,3,Frolunda,1,
2002-09-26,Lulea,3,Malmo,1,
2002-09-26,Frolunda,5,Leksand,2,
2002-09-26,Farjestad,1,Timra,3,
2002-09-26,Djurgarden,2,Sodertalje,1,OT
2002-09-26,Brynas,5,Linkoping,2,
2002-09-26,Modo,1,HV 71,2,
2002-09-28,Timra,3,Sodertalje,1,
2002-09-28,Malmo,2,Modo,3,OT
2002-09-28,Linkoping,2,Frolunda,1,OT
2002-09-28,Leksand,4,Lulea,3,
2002-09-28,HV 71,5,Farjestad,4,OT
2002-09-28,Brynas,0,Djurgarden,1,
2002-10-01,Djurgarden,1,Timra,4,
2002-10-01,Farjestad,3,Malmo,1,
2002-10-01,Frolunda,2,Brynas,1,
2002-10-01,Modo,2,Leksand,1,
2002-10-01,Sodertalje,3,HV 71,2,OT
2002-10-01,Lulea,2,Linkoping,3,
2002-10-03,Frolunda,6,Djurgarden,0,
2002-10-03,HV 71,4,Timra,3,
2002-10-03,Brynas,2,Lulea,3,
2002-10-03,Linkoping,5,Modo,1,
2002-10-03,Malmo,4,Sodertalje,1,
2002-10-03,Leksand,4,Farjestad,1,
2002-10-05,Timra,5,Malmo,2,
2002-10-05,Sodertalje,2,Leksand,3,OT
2002-10-05,Modo,5,Brynas,0,
2002-10-05,Lulea,1,Frolunda,2,OT
2002-10-05,Farjestad,4,Linkoping,1,
2002-10-05,Djurgarden,1,HV 71,2,
2002-10-08,Brynas,2,Farjestad,4,
2002-10-08,Frolunda,6,Modo,1,
2002-10-08,Leksand,1,Timra,3,
2002-10-08,Lulea,2,Djurgarden,1,OT
2002-10-08,Linkoping,0,Sodertalje,3,
2002-10-08,Malmo,1,HV 71,3,
2002-10-10,Timra,2,Linkoping,1,OT
2002-10-10,Sodertalje,6,Brynas,3,
2002-10-10,Modo,3,Lulea,2,OT
2002-10-10,HV 71,3,Leksand,2,
2002-10-10,Farjestad,1,Frolunda,2,
2002-10-10,Djurgarden,4,Malmo,1,
2002-10-12,Farjestad,4,Djurgarden,3,
2002-10-12,Lulea,3,Timra,2,OT
2002-10-13,Sodertalje,4,Modo,0,
2002-10-13,Malmo,5,Brynas,4,OT
2002-10-13,Linkoping,5,Leksand,4,
2002-10-13,Frolunda,3,HV 71,4,
2002-10-15,Frolunda,6,Sodertalje,2,
2002-10-15,Brynas,3,Timra,4,
2002-10-15,Linkoping,1,HV 71,4,
2002-10-15,Lulea,0,Farjestad,2,
2002-10-15,Modo,3,Djurgarden,1,
2002-10-15,Leksand,3,Malmo,0,
2002-10-17,Timra,1,Frolunda,4,
2002-10-17,Sodertalje,3,Lulea,1,
2002-10-17,Malmo,4,Linkoping,3,OT
2002-10-17,HV 71,7,Brynas,0,
2002-10-17,Farjestad,5,Modo,3,
2002-10-17,Djurgarden,5,Leksand,4,
2002-10-19,Modo,0,Timra,3,
2002-10-19,Frolunda,2,Malmo,1,OT
2002-10-19,Lulea,2,HV 71,3,
2002-10-20,Djurgarden,2,Linkoping,0,
2002-10-22,Farjestad,3,Sodertalje,0,
2002-10-22,Brynas,2,Leksand,1,
2002-10-24,Leksand,3,Frolunda,1,
2002-10-24,HV 71,1,Modo,4,
2002-10-24,Linkoping,5,Brynas,3,
2002-10-24,Timra,4,Farjestad,6,
2002-10-24,Malmo,2,Lulea,1,
2002-10-24,Sodertalje,2,Djurgarden,1,OT
2002-10-26,Modo,2,Malmo,1,
2002-10-26,Lulea,3,Leksand,1,
2002-10-26,Frolunda,8,Linkoping,5,
2002-10-26,Farjestad,4,HV 71,2,
2002-10-26,Djurgarden,7,Brynas,1,
2002-10-27,Sodertalje,4,Timra,1,
2002-10-29,Timra,1,Djurgarden,2,
2002-10-29,Malmo,6,Farjestad,5,OT
2002-10-29,Linkoping,4,Lulea,3,OT
2002-10-29,Leksand,7,Modo,2,
2002-10-29,HV 71,1,Sodertalje,2,OT
2002-10-29,Brynas,0,Frolunda,2,
2002-10-31,Farjestad,2,Leksand,1,
2002-10-31,Djurgarden,4,Frolunda,2,
2002-10-31,Lulea,2,Brynas,1,
2002-10-31,Sodertalje,5,Malmo,3,
2002-10-31,Timra,5,HV 71,0,
2002-10-31,Modo,4,Linkoping,1,
2002-11-02,Leksand,4,Sodertalje,1,
2002-11-02,HV 71,2,Djurgarden,3,OT
2002-11-02,Farjestad,7,Linkoping,1,
2002-11-02,Brynas,0,Modo,1,OT
2002-11-12,Djurgarden,4,Farjestad,3,OT
2002-11-12,Malmo,7,Timra,0,
2002-11-12,Frolunda,4,Lulea,2,
2002-11-14,Timra,7,Leksand,4,
2002-11-14,Sodertalje,2,Linkoping,3,
2002-11-14,Modo,3,Frolunda,6,
2002-11-14,HV 71,3,Malmo,4,OT
2002-11-14,Farjestad,1,Brynas,2,
2002-11-14,Djurgarden,2,Lulea,3,OT
2002-11-16,Lulea,2,Modo,3,OT
2002-11-16,Leksand,0,HV 71,3,
2002-11-16,Brynas,1,Sodertalje,4,
2002-11-17,Malmo,6,Djurgarden,3,
2002-11-19,Frolunda,7,Farjestad,4,
2002-11-19,Djurgarden,2,Modo,0,
2002-11-19,Linkoping,0,Timra,3,
2002-11-21,Timra,4,Lulea,1,
2002-11-21,Modo,3,Sodertalje,4,OT
2002-11-21,Malmo,3,Brynas,0,
2002-11-21,Leksand,9,Linkoping,2,
2002-11-21,HV 71,1,Frolunda,4,
2002-11-21,Djurgarden,2,Farjestad,4,
2002-11-23,Timra,5,Brynas,4,OT
2002-11-23,HV 71,2,Linkoping,3,
2002-11-23,Farjestad,3,Lulea,4,OT
2002-11-24,Sodertalje,0,Frolunda,2,
2002-11-24,Malmo,3,Leksand,5,
2002-11-26,Frolunda,4,Timra,3,OT
2002-11-26,Leksand,2,Djurgarden,1,
2002-11-26,Brynas,2,HV 71,1,
2002-11-26,Lulea,4,Sodertalje,0,
2002-11-26,Modo,5,Farjestad,4,
2002-11-26,Linkoping,2,Malmo,5,
2002-11-28,Sodertalje,0,Djurgarden,2,
2002-11-28,Modo,7,Timra,3,
2002-11-28,Lulea,5,Brynas,2,
2002-11-28,Linkoping,1,HV 71,3,
2002-11-28,Frolunda,3,Malmo,0,
2002-11-28,Farjestad,2,Leksand,4,
2002-11-30,Brynas,4,Modo,1,
