date,home_team,home_score,away_team,away_score
2013-10-20 11:30:00,Cuneo,2,Perugia,3
2013-10-20 12:00:00,Vibo Valentia,3,Verona,1
2013-10-20 12:00:00,Modena,3,Ravenna,0
2013-10-20 12:00:00,Lube Civitanova,3,Molfetta,0
2013-10-20 12:00:00,Citta Di Castello,3,Piacenza,1
2013-10-26 11:30:00,Perugia,3,Modena,2
2013-10-27 12:30:00,Ravenna,0,Trentino,3
2013-10-27 13:00:00,Verona,3,Cuneo,1
2013-10-27 13:00:00,Piacenza,3,Vibo Valentia,1
2013-10-27 13:00:00,Molfetta,3,Citta Di Castello,0
2013-10-27 13:00:00,Cisterna,0,Lube Civitanova,3
2013-11-02 12:30:00,Citta Di Castello,1,Verona,3
2013-11-03 11:30:00,Modena,2,Piacenza,3
2013-11-03 12:00:00,Trentino,3,Molfetta,0
2013-11-03 12:00:00,Ravenna,3,Vibo Valentia,1
2013-11-03 12:00:00,Lube Civitanova,3,Perugia,0
2013-11-03 12:00:00,Cuneo,3,Cisterna,0
2013-11-09 12:00:00,Verona,2,Perugia,3
2013-11-10 11:30:00,Trentino,1,Lube Civitanova,3
2013-11-10 12:00:00,Vibo Valentia,3,Cisterna,0
2013-11-10 12:00:00,Piacenza,3,Ravenna,0
2013-11-10 12:00:00,Molfetta,3,Cuneo,0
2013-11-10 12:00:00,Citta Di Castello,3,Modena,2
2013-11-13 14:30:00,Perugia,1,Piacenza,3
2013-11-13 14:30:00,Modena,3,Vibo Valentia,2
2013-11-13 14:30:00,Lube Civitanova,3,Citta Di Castello,0
2013-11-13 14:30:00,Cisterna,3,Molfetta,0
2013-11-14 14:30:00,Cuneo,1,Trentino,3
2013-11-17 11:30:00,Ravenna,2,Verona,3
2013-11-23 11:30:00,Trentino,3,Cisterna,2
2013-11-27 14:30:00,Vibo Valentia,0,Lube Civitanova,3
2013-11-27 14:30:00,Piacenza,3,Cuneo,1
2013-11-27 14:30:00,Molfetta,0,Perugia,3
2013-11-27 14:30:00,Modena,0,Trentino,3
